,Season,GameId,Stadium,StadiumType,Turf,State,StateAbb
0,2017,2017090700,Gillette Stadium,outdoor,Artificial,Foxborough,MA
1144,2017,2017091000,New Era Field,outdoor,Artificial,Orchard Park NY,
2112,2017,2017091001,Soldier Field,outdoor,Natural,Chicago. IL,
2948,2017,2017091002,Paul Brown Stadium,outdoor,Artificial,Cincinnati,Ohio
4334,2017,2017091003,FirstEnergy,outdoor,Natural,Cleveland,Ohio
5060,2017,2017091004,Ford Field,indoor,Artificial,Detroit,MI
5918,2017,2017091005,NRG Stadium,,Artificial,Houston,Texas
7172,2017,2017091007,Nissan Stadium,outdoor,Natural,Nashville,TN
8162,2017,2017091008,FedExField,outdoor,Natural,Landover,MD
8888,2017,2017091009,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,Calif.
10032,2017,2017091010,Lambeau Field,outdoor,Artificial,Green Bay,WI
10824,2017,2017091011,Levis Stadium,outdoor,Natural,Santa Clara,CA
11792,2017,2017091012,AT&T Stadium,indoor,Artificial,Arlington,Texas
12650,2017,2017091100,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
13728,2017,2017091101,Sports Authority Field at Mile High,outdoor,Natural,Denver,CO
14872,2017,2017091400,Paul Brown Stadium,outdoor,Artificial,Cincinnati,Ohio
16016,2017,2017091700,M&T Bank Stadium,outdoor,Natural,Baltimore,Md.
16962,2017,2017091701,Bank of America Stadium,outdoor,Natural,Charlotte,North Carolina
17798,2017,2017091702,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
18722,2017,2017091703,Everbank Field,outdoor,Natural,Jacksonville,FL
19844,2017,2017091704,Arrowhead Stadium,outdoor,Natural,Kansas City,MO
20460,2017,2017091705,Mercedes-Benz Superdome,indoor,Artificial,New Orleans,LA
21472,2017,2017091706,Heinz Field,outdoor,Natural,Pittsburgh,
22572,2017,2017091707,Raymond James Stadium,outdoor,Natural,Tampa,FL
23606,2017,2017091708,StubHub Center,,Natural,Carson,CA
24552,2017,2017091709,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
25608,2017,2017091710,Sports Authority Field at Mile High,outdoor,Natural,Denver,CO
26598,2017,2017091711,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,Calif.
27830,2017,2017091712,CenturyLink Field,outdoor,Artificial,Seattle,WA
28842,2017,2017091713,Mercedes-Benz Dome,outdoor,Artificial,Atlanta,GA
29700,2017,2017091800,MetLife Stadium,,Artificial,East Rutherford,NJ
30734,2017,2017092100,Levis Stadium,outdoor,Natural,Santa Clara,CA
32120,2017,2017092400,Wembley Stadium,outdoor,Natural,London,England
33286,2017,2017092401,New Era Field,outdoor,Artificial,Orchard Park NY,
34254,2017,2017092402,Bank of America Stadium,outdoor,Natural,Charlotte,North Carolina
35266,2017,2017092403,Soldier Field,outdoor,Natural,Chicago,IL
36366,2017,2017092404,Ford Field,indoor,Artificial,Detroit,
37334,2017,2017092405,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
38324,2017,2017092406,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
39160,2017,2017092407,Gillette Stadium,outdoor,Artificial,Foxborough,MA
40084,2017,2017092408,MetLife Stadium,outdoor,Artificial,East Rutherford,NJ
41074,2017,2017092409,Lincoln Financial Field,outdoor,Natural,Philadelphia,Pa.
42174,2017,2017092410,Nissan Stadium,outdoor,Natural,Nashville,TN
43142,2017,2017092411,Lambeau Field,outdoor,Artificial,Green Bay,WI
44022,2017,2017092412,StubHub Center,,Natural,Carson,CA
44990,2017,2017092413,FedExField,outdoor,Natural,Landover,MD
45958,2017,2017092500,University of Phoenix Stadium,,Natural,Glendale,AZ
46838,2017,2017092800,Lambeau Field,outdoor,Artificial,Green Bay,WI
47982,2017,2017100100,Wembley Stadium,outdoor,Natural,London,England
48818,2017,2017100101,Mercedes-Benz Stadium,indoor,Artificial,Atlanta,GA
50050,2017,2017100102,M&T Stadium,outdoor,Natural,Baltimore,Md.
51282,2017,2017100103,First Energy Stadium,outdoor,Natural,Cleveland,OH
52118,2017,2017100104,AT&T Stadium,indoor,Artificial,Arlington,Texas
53284,2017,2017100105,NRG,,Artificial,Houston,Texas
54384,2017,2017100106,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
55484,2017,2017100107,Gillette Stadium,outdoor,Artificial,Foxborough,Ma
56342,2017,2017100108,MetLife,outdoor,Artificial,E. Rutherford,NJ
57794,2017,2017100109,University of Phoenix Stadium,,Natural,Glendale,AZ
58806,2017,2017100110,StubHub Center,,Natural,Carson,CA
59862,2017,2017100111,Raymond James Stadium,outdoor,Natural,Tampa,FL
60830,2017,2017100112,Sports Authority Field at Mile High,outdoor,Natural,Denver,CO
61732,2017,2017100113,CenturyLink,outdoor,Artificial,Seattle,WA
62854,2017,2017100200,Arrowhead Stadium,outdoor,Natural,Kansas City,MO
63800,2017,2017100500,Raymond James Stadium,outdoor,Natural,Tampa,FL
64658,2017,2017100800,Paul Brown Stadium,outdoor,Artificial,Cincinnati,Ohio
65560,2017,2017100801,FirstEnergy Stadium,outdoor,Natural,Cleveland,Ohio
66374,2017,2017100802,Ford Field,indoor,Artificial,Detroit,
67166,2017,2017100803,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
68178,2017,2017100804,Hard Rock Stadium,outdoor,Natural,Miami Gardens,Fla.
69256,2017,2017100805,MetLife Stadium,,Artificial,East Rutherford,NJ
70356,2017,2017100806,Lincoln Financial Field,outdoor,Natural,Philadelphia,Pa.
71236,2017,2017100807,Heinz Field,outdoor,Natural,Pittsburgh,
72446,2017,2017100808,Los Angeles Memorial Coliseum,outdoor,Natural,Los Angeles,Calif.
73326,2017,2017100809,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
74580,2017,2017100810,AT&T Stadium,indoor,Artificial,Arlington,Texas
75680,2017,2017100811,NRG Stadium,,Artificial,Houston,TX
76780,2017,2017100900,Soldier Field,outdoor,Natural,Chicago,IL
78012,2017,2017101200,Bank of America Stadium,outdoor,Natural,Charlotte,North Carolina
78782,2017,2017101500,Mercedes-Benz Stadium,indoor,Artificial,Atlanta,GA
79838,2017,2017101501,M&T Stadium,outdoor,Natural,Baltimore,Md.
81466,2017,2017101502,NRG Stadium,,Artificial,Houston,TX
82434,2017,2017101503,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
83600,2017,2017101504,Mercedes-Benz Superdome,indoor,Artificial,New Orleans,LA
84656,2017,2017101505,MetLife,outdoor,Artificial,East Rutherford,NJ
85646,2017,2017101506,FedExField,outdoor,Natural,Landover,MD
86702,2017,2017101507,University of Phoenix Stadium,,Natural,Glendale,AZ
87758,2017,2017101508,EverBank Field,outdoor,Natural,Jacksonville,FL
88902,2017,2017101509,Arrowhead Stadium,outdoor,Natural,Kansas City,MO
89848,2017,2017101510,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
90882,2017,2017101511,Sports Authority Field at Mile High,outdoor,Natural,Denver,CO
91894,2017,2017101600,Nissan Stadium,outdoor,Natural,Nashville,TN
92906,2017,2017101900,Oakland-Alameda County Coliseum,outdoor,Natural,Oakland,CA
93830,2017,2017102200,New Era Field,outdoor,Artificial,Orchard Park NY,
94930,2017,2017102201,Soldier Field,outdoor,Natural,Chicago,IL
95876,2017,2017102202,FirstEnergy Stadium,outdoor,Natural,Cleveland,Ohio
97086,2017,2017102203,Lambeau Field,outdoor,Artificial,Green Bay,WI
98208,2017,2017102204,Lucas Oil Stadium,indoor,Artificial,Indianapolis,Ind.
99264,2017,2017102205,Twickenham,outdoor,Natural,London,
100232,2017,2017102206,Hard Rock Stadium,outdoor,Natural,Miami Gardens,Fla.
101200,2017,2017102207,U.S. Bank Stadium,indoor,Artificial,Minneapolis,MN
