,Down,Yards,Quarter,DefendersInTheBox
18,3,8,1,6.0
40,1,3,1,6.0
62,1,5,1,7.0
84,2,2,1,9.0
98,1,7,1,7.0
128,3,10,1,5.0
149,2,-1,1,8.0
172,4,0,1,9.0
186,1,9,1,7.0
208,1,9,1,7.0
230,2,2,1,7.0
259,1,3,1,6.0
280,1,13,1,7.0
304,2,4,1,6.0
326,3,0,1,7.0
339,2,4,2,7.0
367,1,4,2,8.0
391,2,4,2,7.0
412,2,0,2,7.0
435,1,16,2,7.0
458,1,9,2,7.0
480,2,4,2,8.0
502,1,2,2,9.0
524,1,2,2,11.0
538,1,3,2,7.0
560,1,1,2,7.0
576,2,4,2,6.0
608,1,4,2,6.0
626,1,7,2,6.0
648,1,10,3,7.0
677,1,2,3,7.0
700,2,-4,3,7.0
722,2,4,3,7.0
741,2,5,3,6.0
758,1,1,3,8.0
788,1,0,3,10.0
810,2,1,3,9.0
824,2,1,3,7.0
853,1,7,3,7.0
875,2,4,3,7.0
898,2,-6,3,8.0
912,1,13,3,7.0
942,4,0,4,10.0
963,1,2,4,8.0
985,2,14,4,7.0
1000,2,7,4,7.0
1022,1,4,4,8.0
1044,1,58,4,9.0
1063,1,21,4,9.0
1088,1,2,4,9.0
1110,2,2,4,8.0
1132,3,3,4,8.0
1156,2,3,1,6.0
1181,1,16,1,7.0
1203,1,4,1,7.0
1222,2,3,1,6.0
1244,1,10,1,7.0
1270,1,-6,1,8.0
1288,1,3,1,6.0
1310,1,-1,1,7.0
1332,2,1,1,7.0
1354,3,23,2,6.0
1379,1,0,2,6.0
1401,1,14,2,6.0
1420,1,2,2,7.0
1442,1,20,2,7.0
1464,1,-1,2,7.0
1489,3,3,2,6.0
1497,2,4,2,6.0
1519,1,3,2,6.0
1541,1,2,2,6.0
1563,1,0,3,6.0
1584,1,1,3,6.0
1618,1,1,3,7.0
1628,1,0,3,7.0
1662,1,0,3,7.0
1684,1,2,3,7.0
1694,1,8,3,7.0
1717,1,1,3,6.0
1750,2,8,3,6.0
1774,1,1,3,7.0
1794,2,27,4,6.0
1819,1,0,4,7.0
1838,1,3,4,7.0
1863,2,1,4,7.0
1871,2,1,4,7.0
1893,3,11,4,7.0
1914,2,4,4,6.0
1948,1,2,4,7.0
1970,2,-1,4,7.0
1992,1,5,4,6.0
2014,2,-3,4,6.0
2039,1,2,4,7.0
2061,2,1,4,7.0
2080,1,3,4,7.0
2102,2,0,4,8.0
2118,1,6,1,5.0
2142,1,3,1,7.0
2162,3,5,1,6.0
2184,2,2,1,6.0
2207,3,-1,1,7.0
2243,1,1,1,8.0
2252,2,4,1,7.0
2287,1,11,1,7.0
2309,2,15,1,7.0
2331,1,2,1,6.0
2340,1,5,2,7.0
2362,2,0,2,7.0
2383,1,1,2,7.0
2406,2,1,2,7.0
2427,3,3,2,8.0
2450,1,7,2,6.0
2470,1,5,2,7.0
2506,1,3,2,8.0
2529,2,46,2,8.0
2550,1,4,2,8.0
2573,2,2,2,7.0
2595,1,5,2,8.0
2617,2,6,2,6.0
2639,2,9,3,7.0
2657,3,7,3,9.0
2682,1,2,3,7.0
2691,1,0,3,7.0
2727,1,5,3,8.0
2749,2,1,3,7.0
2759,1,1,3,7.0
2778,2,6,3,6.0
2800,2,0,3,6.0
2822,1,6,3,6.0
2859,1,-3,3,6.0
2881,2,3,3,5.0
2902,1,2,3,9.0
2911,1,-1,4,7.0
2934,1,0,4,6.0
2964,2,12,1,7.0
2986,1,1,1,6.0
2998,1,-1,1,7.0
3021,2,7,1,7.0
3042,1,1,1,8.0
3066,1,0,1,8.0
3081,2,4,1,6.0
3123,1,1,1,8.0
3145,1,8,1,6.0
3167,2,1,1,7.0
3174,1,4,1,7.0
3206,1,2,2,7.0
3227,1,23,2,6.0
3249,1,3,2,6.0
3272,2,1,2,7.0
3294,1,1,2,7.0
3316,2,2,2,6.0
3327,2,4,2,6.0
3360,1,7,2,7.0
3373,1,1,2,7.0
3394,2,10,2,6.0
3419,1,4,2,6.0
3441,1,1,2,6.0
3470,1,4,2,7.0
3481,1,2,2,10.0
3514,2,5,2,6.0
3529,1,7,2,6.0
3551,3,17,2,4.0
3571,1,2,3,7.0
3603,1,3,3,7.0
3625,1,2,3,6.0
3637,1,7,3,7.0
3657,2,2,3,7.0
3681,3,7,3,7.0
3705,1,6,3,6.0
3726,2,3,3,7.0
3746,3,2,3,8.0
3769,1,2,3,6.0
3793,2,4,3,7.0
3815,3,6,3,6.0
3837,1,0,3,8.0
3855,2,4,3,6.0
3881,1,7,3,6.0
3902,2,1,3,8.0
3922,2,3,3,7.0
3944,1,11,3,8.0
3964,1,2,4,8.0
3991,2,-3,4,7.0
4013,3,4,4,4.0
4047,2,1,4,7.0
4054,1,4,4,6.0
4076,2,8,4,7.0
4101,3,-2,4,7.0
4122,1,-1,4,8.0
4144,2,2,4,8.0
4167,3,8,4,6.0
4201,1,3,4,6.0
4223,1,4,4,7.0
4233,1,-2,4,8.0
4254,2,7,4,8.0
4276,3,2,4,8.0
4311,1,-4,4,8.0
4333,2,-5,4,7.0
4349,2,-9,1,6.0
4372,3,4,1,5.0
4394,1,5,1,7.0
4416,2,3,1,6.0
4438,2,1,1,6.0
4460,1,2,1,7.0
4481,1,6,1,6.0
4509,2,3,1,6.0
4525,1,1,1,6.0
4548,1,2,1,8.0
4560,2,0,1,6.0
4582,2,3,2,5.0
4614,1,-1,2,6.0
4629,1,1,2,7.0
4648,3,0,2,7.0
4679,1,1,2,7.0
4702,1,1,2,6.0
4724,2,3,2,6.0
4736,2,5,2,6.0
4773,1,3,2,7.0
4790,1,4,3,6.0
4812,1,2,3,6.0
4824,1,2,3,5.0
4846,1,1,3,6.0
4868,2,5,3,5.0
4900,1,6,3,6.0
4916,2,5,3,5.0
4938,1,4,4,5.0
4960,1,1,4,5.0
4977,1,1,4,6.0
5000,3,0,4,4.0
5037,1,1,4,6.0
5043,1,15,4,6.0
5069,2,2,1,6.0
5091,1,-2,1,7.0
5124,1,5,1,6.0
5145,1,0,1,7.0
5157,2,6,1,7.0
5178,3,0,1,8.0
5201,1,1,1,7.0
5223,2,1,1,7.0
5255,1,1,1,6.0
5274,1,-1,1,7.0
5299,1,3,2,6.0
5311,2,3,2,5.0
5344,1,5,2,6.0
5366,1,5,2,6.0
5387,2,3,2,6.0
5410,3,6,2,9.0
5431,1,-2,2,7.0
5454,1,-4,2,8.0
5465,2,3,2,6.0
5498,1,0,3,6.0
5519,1,2,3,6.0
5531,1,3,3,6.0
5551,1,4,3,6.0
5573,1,10,3,7.0
5595,1,3,3,8.0
5629,1,2,3,7.0
5641,1,5,3,6.0
5674,1,3,3,6.0
5683,2,1,3,6.0
5705,3,1,3,10.0
5727,1,1,3,7.0
5761,1,4,4,6.0
5784,1,1,4,7.0
