,Season,NflId,DisplayName,PlayerWeight,PlayerHeight,PlayerCollegeName,PlayerAge_int,PlayerAge,HeightFt,HeightIn,HeightCm,WeightKg,PlayerBMI,categoryId
0,2017,496723,Eric Berry,212,72,Tennessee,28,28.692760095824777,6,0,182.88,96.16158244,28.749228395061728,b
1,2017,2495116,Allen Bailey,288,75,Miami,28,28.457304928131418,6,3,190.5,130.63460256000002,35.9936,b
2,2017,2495493,Justin Houston,270,75,Georgia,28,28.62978952772074,6,3,190.5,122.4699399,33.744,b
3,2017,2506353,Derrick Johnson,245,75,Texas,34,34.79542950034223,6,3,190.5,111.13013065000001,30.619555555555557,b
4,2017,2530794,Ron Parker,206,72,Newberry,30,30.06168548939083,6,0,182.88,93.44002822,27.935570987654323,b
5,2017,2543494,Dee Ford,252,74,Auburn,26,26.475100958247776,6,2,187.96,114.30527724000001,32.35135135135135,b
6,2017,2543637,Terrance Mitchell,190,71,Oregon,25,25.311514373716633,5,11,180.34,86.1825503,26.496726839912714,b
7,2017,2543851,Phillip Gaines,193,72,Rice,26,26.431295345653663,6,0,182.88,87.54332741,26.172646604938272,b
8,2017,2550257,Daniel Sorensen,208,74,Brigham Young,27,27.51274640657084,6,2,187.96,94.34721296000001,26.702702702702705,b
9,2017,2552488,Marcus Peters,197,72,Washington,24,24.662643737166324,6,0,182.88,89.35769689,26.715084876543212,b
10,2017,2556369,Chris Jones,308,78,Mississippi State,23,23.18420431211499,6,6,198.12,139.70644996000001,35.58908612754767,b
11,2017,2649,Danny Amendola,185,71,Texas Tech,31,31.84950205338809,5,11,180.34,83.91458845000001,25.799444554651853,b
12,2017,497240,Rob Gronkowski,265,78,Arizona,28,28.320412388774812,6,6,198.12,120.20197805000001,30.620479947403027,b
13,2017,2495131,Marcus Cannon,335,78,Texas Christian,29,29.341630732375087,6,6,198.12,151.95344395,38.70890861275477,b
14,2017,2495232,Nate Solder,325,81,Colorado,29,29.407339151266257,6,9,205.74,147.41752025,34.823197683279986,b
15,2017,2504211,Tom Brady,225,76,Michigan,40,40.09864647501711,6,4,193.04,102.05828325,27.384868421052634,b
16,2017,2530515,Chris Hogan,210,73,Monmouth (N.J.),29,29.875511635865845,6,1,185.42,95.2543977,27.70313379620942,b
17,2017,2543498,Brandin Cooks,183,70,Oregon State,23,23.95354038329911,5,10,177.8,83.00740371,26.254897959183673,b
18,2017,2543773,James White,205,70,Wisconsin,25,25.596250855578372,5,10,177.8,92.98643585,29.41122448979592,b
