,PlayId,Stadium,StadiumType
0,20170907000118,Gillette Stadium,outdoor
22,20170907000139,Gillette Stadium,outdoor
44,20170907000189,Gillette Stadium,outdoor
66,20170907000345,Gillette Stadium,outdoor
88,20170907000395,Gillette Stadium,outdoor
110,20170907000473,Gillette Stadium,outdoor
132,20170907000516,Gillette Stadium,outdoor
154,20170907000653,Gillette Stadium,outdoor
176,20170907000680,Gillette Stadium,outdoor
198,20170907000801,Gillette Stadium,outdoor
220,20170907000917,Gillette Stadium,outdoor
242,20170907001004,Gillette Stadium,outdoor
264,20170907001077,Gillette Stadium,outdoor
286,20170907001156,Gillette Stadium,outdoor
308,20170907001177,Gillette Stadium,outdoor
330,20170907001296,Gillette Stadium,outdoor
352,20170907001355,Gillette Stadium,outdoor
374,20170907001376,Gillette Stadium,outdoor
396,20170907001443,Gillette Stadium,outdoor
418,20170907001488,Gillette Stadium,outdoor
440,20170907001509,Gillette Stadium,outdoor
462,20170907001530,Gillette Stadium,outdoor
484,20170907001551,Gillette Stadium,outdoor
506,20170907001605,Gillette Stadium,outdoor
528,20170907001664,Gillette Stadium,outdoor
550,20170907001715,Gillette Stadium,outdoor
572,20170907001736,Gillette Stadium,outdoor
594,20170907001819,Gillette Stadium,outdoor
616,20170907001955,Gillette Stadium,outdoor
638,20170907002430,Gillette Stadium,outdoor
660,20170907002648,Gillette Stadium,outdoor
682,20170907002669,Gillette Stadium,outdoor
704,20170907002829,Gillette Stadium,outdoor
726,20170907002900,Gillette Stadium,outdoor
748,20170907002961,Gillette Stadium,outdoor
770,20170907003138,Gillette Stadium,outdoor
792,20170907003161,Gillette Stadium,outdoor
814,20170907003261,Gillette Stadium,outdoor
836,20170907003444,Gillette Stadium,outdoor
858,20170907003465,Gillette Stadium,outdoor
880,20170907003507,Gillette Stadium,outdoor
902,20170907003635,Gillette Stadium,outdoor
924,20170907003874,Gillette Stadium,outdoor
946,20170907004025,Gillette Stadium,outdoor
968,20170907004046,Gillette Stadium,outdoor
990,20170907004182,Gillette Stadium,outdoor
1012,20170907004314,Gillette Stadium,outdoor
1034,20170907004465,Gillette Stadium,outdoor
1056,20170907004486,Gillette Stadium,outdoor
1078,20170907004622,Gillette Stadium,outdoor
1100,20170907004660,Gillette Stadium,outdoor
1122,20170907004721,Gillette Stadium,outdoor
1144,20170910000081,New Era Field,outdoor
1166,20170910000221,New Era Field,outdoor
1188,20170910000242,New Era Field,outdoor
1210,20170910000263,New Era Field,outdoor
1232,20170910000305,New Era Field,outdoor
1254,20170910000358,New Era Field,outdoor
1276,20170910000626,New Era Field,outdoor
1298,20170910000882,New Era Field,outdoor
1320,20170910000978,New Era Field,outdoor
1342,20170910001020,New Era Field,outdoor
1364,20170910001041,New Era Field,outdoor
1386,20170910001102,New Era Field,outdoor
1408,20170910001123,New Era Field,outdoor
1430,20170910001522,New Era Field,outdoor
1452,20170910001543,New Era Field,outdoor
1474,20170910001622,New Era Field,outdoor
