,DefendersInTheBox,Yards
18,6,8
40,6,3
62,7,5
84,9,2
98,7,7
128,5,10
149,8,-1
172,9,0
186,7,9
208,7,9
230,7,2
259,6,3
280,7,13
304,6,4
326,7,0
339,7,4
367,8,4
391,7,4
412,7,0
435,7,16
458,7,9
480,8,4
502,9,2
524,11,2
538,7,3
560,7,1
576,6,4
608,6,4
626,6,7
648,7,10
677,7,2
700,7,-4
722,7,4
741,6,5
758,8,1
788,10,0
810,9,1
824,7,1
853,7,7
875,7,4
898,8,-6
912,7,13
942,10,0
963,8,2
985,7,14
1000,7,7
1022,8,4
1044,9,58
1063,9,21
1088,9,2
1110,8,2
1132,8,3
1156,6,3
1181,7,16
1203,7,4
1222,6,3
1244,7,10
1270,8,-6
1288,6,3
1310,7,-1
1332,7,1
1354,6,23
1379,6,0
1401,6,14
1420,7,2
1442,7,20
1464,7,-1
1489,6,3
1497,6,4
1519,6,3
1541,6,2
1563,6,0
1584,6,1
1618,7,1
1628,7,0
1662,7,0
1684,7,2
1694,7,8
1717,6,1
1750,6,8
1774,7,1
1794,6,27
1819,7,0
1838,7,3
1863,7,1
1871,7,1
1893,7,11
1914,6,4
1948,7,2
1970,7,-1
1992,6,5
2014,6,-3
2039,7,2
2061,7,1
2080,7,3
2102,8,0
2118,5,6
2142,7,3
2162,6,5
2184,6,2
2207,7,-1
2243,8,1
2252,7,4
2287,7,11
2309,7,15
2331,6,2
2340,7,5
2362,7,0
2383,7,1
2406,7,1
2427,8,3
2450,6,7
2470,7,5
2506,8,3
2529,8,46
2550,8,4
2573,7,2
2595,8,5
2617,6,6
2639,7,9
2657,9,7
2682,7,2
2691,7,0
2727,8,5
2749,7,1
2759,7,1
2778,6,6
2800,6,0
2822,6,6
2859,6,-3
2881,5,3
2902,9,2
2911,7,-1
2934,6,0
2964,7,12
2986,6,1
2998,7,-1
3021,7,7
3042,8,1
3066,8,0
3081,6,4
3123,8,1
3145,6,8
3167,7,1
3174,7,4
3206,7,2
3227,6,23
3249,6,3
3272,7,1
3294,7,1
3316,6,2
3327,6,4
3360,7,7
3373,7,1
3394,6,10
3419,6,4
3441,6,1
3470,7,4
3481,10,2
3514,6,5
3529,6,7
3551,4,17
3571,7,2
3603,7,3
3625,6,2
3637,7,7
3657,7,2
3681,7,7
3705,6,6
3726,7,3
3746,8,2
3769,6,2
3793,7,4
3815,6,6
3837,8,0
3855,6,4
3881,6,7
3902,8,1
3922,7,3
3944,8,11
3964,8,2
3991,7,-3
4013,4,4
4047,7,1
4054,6,4
4076,7,8
4101,7,-2
4122,8,-1
4144,8,2
4167,6,8
4201,6,3
4223,7,4
4233,8,-2
4254,8,7
4276,8,2
4311,8,-4
4333,7,-5
4349,6,-9
4372,5,4
4394,7,5
4416,6,3
4438,6,1
4460,7,2
4481,6,6
4509,6,3
4525,6,1
4548,8,2
4560,6,0
4582,5,3
4614,6,-1
4629,7,1
4648,7,0
4679,7,1
4702,6,1
4724,6,3
4736,6,5
4773,7,3
4790,6,4
4812,6,2
4824,5,2
4846,6,1
4868,5,5
4900,6,6
4916,5,5
4938,5,4
4960,5,1
4977,6,1
5000,4,0
5037,6,1
5043,6,15
5069,6,2
5091,7,-2
5124,6,5
5145,7,0
5157,7,6
5178,8,0
5201,7,1
5223,7,1
5255,6,1
5274,7,-1
5299,6,3
5311,5,3
5344,6,5
5366,6,5
5387,6,3
5410,9,6
5431,7,-2
5454,8,-4
5465,6,3
5498,6,0
5519,6,2
5531,6,3
5551,6,4
5573,7,10
5595,8,3
5629,7,2
5641,6,5
5674,6,3
5683,6,1
5705,10,1
5727,7,1
5761,6,4
5784,7,1
5805,6,-2
5827,6,7
5849,7,5
5865,7,1
5894,8,6
5916,8,2
5927,8,4
5949,7,9
5975,8,1
5993,8,3
6015,8,2
6048,7,6
6063,7,6
6085,7,-1
6107,8,-1
6125,7,11
6147,8,6
6162,8,17
6184,7,12
6212,7,-1
6234,7,3
6267,6,-2
6279,7,-1
6301,8,4
6335,7,4
6345,7,4
6367,7,-1
6393,7,3
6411,7,4
6426,8,2
6455,8,4
6477,8,3
6499,10,1
6515,10,0
6543,10,1
6569,6,7
6591,7,7
6613,7,0
6635,7,2
6657,7,7
6684,7,4
6690,8,7
6712,8,1
6734,8,1
6762,8,7
6785,10,1
6811,7,4
6832,7,2
6854,6,8
6876,7,5
6898,6,3
6917,7,4
6939,7,17
6954,8,1
6976,8,0
7004,7,5
7030,7,4
7049,8,1
7071,8,3
7093,8,2
7109,8,1
7137,8,4
7162,6,8
7176,7,14
7206,7,5
7228,8,5
7250,7,2
7272,8,1
7294,7,1
7308,8,4
7331,6,5
7352,7,3
7373,5,5
7396,7,2
7418,7,1
7448,8,0
7477,5,5
7490,8,0
7512,7,4
7534,6,2
7556,7,2
7588,7,3
7610,7,2
7633,8,2
7654,7,8
7676,7,5
7690,8,-2
7704,6,7
7734,8,-1
7747,7,2
7776,7,2
7800,7,6
7822,6,21
7844,6,-1
7858,7,12
7880,7,4
7908,7,0
7923,6,1
7945,8,3
7976,6,7
7990,6,4
8012,7,3
8040,6,7
8062,7,9
8078,8,5
8100,8,2
8122,9,6
8144,9,-2
8177,7,-1
8205,7,-1
8227,7,4
8228,6,6
8259,6,1
8293,8,4
8294,7,4
8316,6,5
8338,8,-2
8360,7,4
8382,7,6
8404,8,2
8447,7,6
8469,7,2
8491,8,-1
8507,7,1
8514,7,7
8545,8,2
8579,7,4
8595,7,4
8604,6,0
8624,8,0
8667,8,4
8689,6,6
8690,7,5
8733,7,2
8736,6,2
8756,7,0
8786,7,3
8808,6,-2
8822,7,3
8844,7,4
8866,8,2
8906,7,2
8912,7,2
8934,7,-2
8956,7,4
8978,8,8
9007,8,-1
9029,6,0
9060,6,3
9082,7,4
9100,6,9
9126,8,0
9148,7,7
9154,7,16
9176,6,2
9214,6,-3
9232,5,2
9242,7,2
9279,7,1
9302,6,5
9315,7,0
9346,6,7
9368,7,12
9388,7,1
9396,7,6
9418,7,3
9440,6,1
9479,7,3
9498,6,5
9523,5,2
9544,8,-6
9566,6,2
9579,7,1
9610,7,0
9622,8,3
9645,7,-2
9676,7,1
9698,7,0
9719,8,0
9733,8,24
9748,7,5
9770,8,2
9799,7,3
9828,6,-4
9842,7,-10
9873,8,5
9895,7,2
9917,8,2
9939,8,1
9960,7,3
9982,8,3
9996,7,6
10031,8,1
10035,7,2
10058,6,6
10096,8,3
10118,8,3
10140,7,2
10161,8,3
10185,8,3
10189,8,-2
10218,6,0
10250,6,2
10262,7,4
10293,8,3
10315,7,0
10321,7,0
10360,7,0
10372,7,-1
10394,7,8
10416,6,4
10447,7,4
10469,6,8
10482,5,2
10514,6,6
10526,6,3
10548,6,30
10563,7,-3
10592,7,0
10623,7,6
10636,7,0
10668,6,6
10690,6,3
10713,5,6
10733,7,2
10755,7,3
10778,8,0
10800,6,1
10821,7,-1
10824,7,1
10846,7,7
10887,6,8
10911,7,2
10912,6,3
10939,8,1
10976,7,12
10998,8,2
11010,5,5
11041,7,18
11063,7,1
11066,7,3
11109,5,3
11120,6,5
11142,8,3
11154,7,2
11195,7,2
11219,7,5
11220,7,10
11251,6,-2
11282,7,1
11304,6,0
11308,7,1
11339,6,5
11362,7,4
11393,7,1
11396,8,2
11418,8,3
11450,6,3
11462,7,3
11484,8,0
11527,6,1
11538,6,6
11560,6,-6
11572,8,5
11594,8,8
11616,8,4
11638,8,6
11660,8,3
11682,8,2
11713,5,11
11736,8,1
11748,8,2
11780,8,8
11812,7,3
11834,6,3
11844,7,3
11878,8,6
11900,6,3
11922,8,6
11944,6,9
11966,6,5
11982,7,-2
12010,6,-7
12021,6,3
12042,7,3
12064,7,3
12093,7,4
12120,7,5
12142,6,3
12150,6,12
12186,6,10
12208,6,9
12230,7,6
12240,6,6
12263,7,1
12284,7,2
12306,6,1
12340,7,2
12362,6,4
12369,8,4
12392,6,-2
12428,7,4
12450,7,3
12472,7,4
12494,6,8
12516,6,1
12538,7,6
12560,8,8
12576,8,3
12599,8,-4
12626,8,3
12648,8,0
12654,7,9
12676,6,1
12704,6,3
12717,7,2
12741,7,2
12770,8,1
12783,6,4
12824,8,1
12846,8,-1
12868,6,-1
12886,6,10
12912,6,2
12918,7,3
12946,7,3
12978,6,6
13000,7,0
13003,7,7
13026,7,2
13050,7,5
13069,7,-1
13091,7,3
13122,6,2
13137,7,1
13176,6,5
13198,8,10
13220,6,7
13242,6,0
13264,6,10
13282,7,3
13292,6,2
13326,7,-2
13349,8,-6
13364,7,3
13379,8,2
13418,8,1
13440,8,3
13462,7,5
13484,7,32
13506,8,4
13525,6,-3
13540,7,5
13562,7,1
13594,6,4
13616,8,3
13638,7,0
13656,7,3
13682,9,2
13704,9,1
13726,7,33
13744,7,1
13766,8,2
13779,8,21
13802,6,5
13833,6,6
13854,8,2
13876,6,11
13898,7,3
13921,7,7
13942,8,0
13954,8,2
13976,7,1
13998,8,2
14020,9,0
14043,8,10
14064,6,0
14096,5,2
14110,7,6
14129,7,3
14154,6,1
14174,7,0
14201,7,3
14227,7,18
14245,6,4
14271,11,0
14283,8,2
14306,8,1
14328,8,4
14361,7,9
14383,7,5
14399,4,4
14417,6,2
14438,8,2
14468,7,4
14487,7,7
14509,5,12
14531,7,2
14553,8,2
14575,11,-2
14602,8,1
14616,6,-2
14636,9,-2
14667,7,0
14689,7,0
14704,6,4
14729,7,4
14751,7,4
14778,7,3
14798,8,3
14820,8,4
14835,5,0
14858,5,2
14874,7,4
14910,8,5
14918,8,0
14940,6,2
14981,7,2
14990,7,9
15012,7,5
15047,6,12
15056,8,5
15079,7,9
15100,7,2
15123,7,1
15152,6,-5
15160,7,1
15182,8,0
15223,7,3
15245,6,3
15262,6,3
15284,5,5
15306,7,1
15314,7,6
15336,7,3
15358,8,0
15399,6,7
15409,6,1
15431,6,5
15461,7,6
15483,7,-1
15504,7,6
15526,9,0
15548,9,3
15570,7,4
15578,6,8
15600,7,2
15622,6,0
15663,8,6
15684,8,2
15695,7,2
15716,9,-2
15751,6,7
15773,6,4
15795,5,-1
15804,9,-1
15839,6,5
15842,7,3
15864,7,2
15886,6,19
15915,6,4
15930,7,2
15952,7,6
15974,7,5
15996,8,-2
16021,7,3
16043,6,0
16078,6,-1
16098,8,2
16108,7,9
16131,8,2
16168,6,3
16188,5,2
16208,7,4
16218,8,2
16241,6,3
16278,7,2
16298,6,5
16307,8,-1
16328,6,0
16364,7,12
16388,8,-4
16410,7,4
16416,7,1
16451,8,1
16461,7,2
16498,7,37
16517,8,2
16542,6,4
16549,8,17
16570,8,2
16608,8,-2
16631,7,16
16653,7,4
16675,6,1
16696,7,14
16718,6,1
16724,6,16
16763,6,7
16785,8,4
16805,8,2
16828,7,-2
16850,8,9
16872,8,1
16893,8,-1
16916,7,-2
16938,4,6
16960,4,6
16973,6,-1
16995,8,3
17026,6,6
17039,7,5
17070,6,4
17073,6,0
17105,6,-1
17127,7,9
17149,7,-2
17181,8,2
17183,9,2
17215,8,1
17230,7,3
17252,6,1
17281,6,10
17313,7,-2
17335,6,-2
17347,7,6
17359,5,-2
17381,8,-1
17422,6,0
17435,7,-2
17447,6,6
17469,8,-2
17501,6,5
17513,6,2
17535,7,6
17557,7,0
17599,6,3
17601,7,-7
17623,6,4
17648,7,1
17667,7,1
17699,7,4
17731,6,-1
17743,9,4
17765,10,-2
17787,10,1
17804,6,2
17832,8,8
17854,9,1
17878,7,5
17898,7,2
17920,8,5
17936,7,4
17958,6,1
17986,7,5
18016,8,1
18037,8,-4
18046,7,5
18068,8,-2
18097,8,1
18106,7,3
18128,7,8
18150,6,11
18178,7,3
18200,7,2
18228,6,2
18244,7,4
18272,6,3
18282,6,3
18316,7,13
18338,7,6
18367,6,2
18370,7,2
18392,7,4
18427,9,5
18455,8,2
18477,7,3
18500,7,-3
18514,8,1
18530,6,6
18546,7,3
18580,8,-2
18590,7,3
18612,8,5
18634,6,1
18656,8,1
18684,8,3
18706,8,5
18722,7,0
18744,7,3
18786,7,5
18801,8,6
18830,8,7
18852,9,2
18868,9,2
18896,8,-1
18899,9,4
18920,6,4
18942,8,4
18964,8,7
19006,7,4
19021,7,0
19039,7,3
19072,7,4
19074,8,0
19116,7,7
19138,8,2
19153,7,2
19172,7,17
19204,8,13
19226,7,3
19241,7,3
19263,8,4
19291,7,0
19303,8,2
