,Down,Yards
18,3,8
40,1,3
62,1,5
84,2,2
98,1,7
128,3,10
149,2,-1
172,4,0
186,1,9
208,1,9
230,2,2
259,1,3
280,1,13
304,2,4
326,3,0
339,2,4
367,1,4
391,2,4
412,2,0
435,1,16
458,1,9
480,2,4
502,1,2
524,1,2
538,1,3
560,1,1
576,2,4
608,1,4
626,1,7
648,1,10
677,1,2
700,2,-4
722,2,4
741,2,5
758,1,1
788,1,0
810,2,1
824,2,1
853,1,7
875,2,4
898,2,-6
912,1,13
942,4,0
963,1,2
985,2,14
1000,2,7
1022,1,4
1044,1,58
1063,1,21
1088,1,2
1110,2,2
1132,3,3
1156,2,3
1181,1,16
1203,1,4
1222,2,3
1244,1,10
1270,1,-6
1288,1,3
1310,1,-1
1332,2,1
1354,3,23
1379,1,0
1401,1,14
1420,1,2
1442,1,20
1464,1,-1
1489,3,3
1497,2,4
1519,1,3
1541,1,2
1563,1,0
1584,1,1
1618,1,1
1628,1,0
1662,1,0
1684,1,2
1694,1,8
1717,1,1
1750,2,8
1774,1,1
1794,2,27
1819,1,0
1838,1,3
1863,2,1
1871,2,1
1893,3,11
1914,2,4
1948,1,2
1970,2,-1
1992,1,5
2014,2,-3
2039,1,2
2061,2,1
2080,1,3
2102,2,0
2118,1,6
2142,1,3
2162,3,5
2184,2,2
2207,3,-1
2243,1,1
2252,2,4
2287,1,11
2309,2,15
2331,1,2
2340,1,5
2362,2,0
2383,1,1
2406,2,1
2427,3,3
2450,1,7
2470,1,5
2506,1,3
2529,2,46
2550,1,4
2573,2,2
2595,1,5
2617,2,6
2639,2,9
2657,3,7
2682,1,2
2691,1,0
2727,1,5
2749,2,1
2759,1,1
2778,2,6
2800,2,0
2822,1,6
2859,1,-3
2881,2,3
2902,1,2
2911,1,-1
2934,1,0
2964,2,12
2986,1,1
2998,1,-1
3021,2,7
3042,1,1
3066,1,0
3081,2,4
3123,1,1
3145,1,8
3167,2,1
3174,1,4
3206,1,2
3227,1,23
3249,1,3
3272,2,1
3294,1,1
3316,2,2
3327,2,4
3360,1,7
3373,1,1
3394,2,10
3419,1,4
3441,1,1
3470,1,4
3481,1,2
3514,2,5
3529,1,7
3551,3,17
3571,1,2
3603,1,3
3625,1,2
3637,1,7
3657,2,2
3681,3,7
3705,1,6
3726,2,3
3746,3,2
3769,1,2
3793,2,4
3815,3,6
3837,1,0
3855,2,4
3881,1,7
3902,2,1
3922,2,3
3944,1,11
3964,1,2
3991,2,-3
4013,3,4
4047,2,1
4054,1,4
4076,2,8
4101,3,-2
4122,1,-1
4144,2,2
4167,3,8
4201,1,3
4223,1,4
4233,1,-2
4254,2,7
4276,3,2
4311,1,-4
4333,2,-5
4349,2,-9
4372,3,4
4394,1,5
4416,2,3
4438,2,1
4460,1,2
4481,1,6
4509,2,3
4525,1,1
4548,1,2
4560,2,0
4582,2,3
4614,1,-1
4629,1,1
4648,3,0
4679,1,1
4702,1,1
4724,2,3
4736,2,5
4773,1,3
4790,1,4
4812,1,2
4824,1,2
4846,1,1
4868,2,5
4900,1,6
4916,2,5
4938,1,4
4960,1,1
4977,1,1
5000,3,0
5037,1,1
5043,1,15
5069,2,2
5091,1,-2
5124,1,5
5145,1,0
5157,2,6
5178,3,0
5201,1,1
5223,2,1
5255,1,1
5274,1,-1
5299,1,3
5311,2,3
5344,1,5
5366,1,5
5387,2,3
5410,3,6
5431,1,-2
5454,1,-4
5465,2,3
5498,1,0
5519,1,2
5531,1,3
5551,1,4
5573,1,10
5595,1,3
5629,1,2
5641,1,5
5674,1,3
5683,2,1
5705,3,1
5727,1,1
5761,1,4
5784,1,1
5805,1,-2
5827,1,7
5849,2,5
5865,1,1
5894,1,6
5916,2,2
5927,1,4
5949,2,9
5975,1,1
5993,1,3
6015,2,2
6048,1,6
6063,1,6
6085,2,-1
6107,1,-1
6125,1,11
6147,1,6
6162,1,17
6184,1,12
6212,1,-1
6234,2,3
6267,1,-2
6279,1,-1
6301,2,4
6335,1,4
6345,1,4
6367,2,-1
6393,1,3
6411,2,4
6426,1,2
6455,2,4
6477,1,3
6499,2,1
6515,3,0
6543,4,1
6569,1,7
6591,1,7
6613,2,0
6635,1,2
6657,1,7
6684,2,4
6690,1,7
6712,1,1
6734,2,1
6762,1,7
6785,2,1
6811,1,4
6832,1,2
6854,1,8
6876,3,5
6898,2,3
6917,1,4
6939,2,17
6954,1,1
6976,2,0
7004,1,5
7030,2,4
7049,1,1
7071,2,3
7093,1,2
7109,2,1
7137,3,4
7162,1,8
7176,2,14
7206,1,5
7228,2,5
7250,1,2
7272,1,1
7294,2,1
7308,1,4
7331,1,5
7352,1,3
7373,1,5
7396,3,2
7418,4,1
7448,1,0
7477,2,5
7490,1,0
7512,1,4
7534,1,2
7556,1,2
7588,1,3
7610,2,2
7633,1,2
7654,1,8
7676,1,5
7690,2,-2
7704,2,7
7734,1,-1
7747,1,2
7776,2,2
7800,2,6
7822,2,21
7844,3,-1
7858,1,12
7880,1,4
7908,1,0
7923,1,1
7945,2,3
7976,1,7
7990,1,4
8012,2,3
8040,3,7
8062,1,9
8078,2,5
8100,1,2
8122,2,6
8144,3,-2
8177,2,-1
8205,1,-1
8227,1,4
8228,1,6
8259,1,1
8293,1,4
8294,1,4
8316,2,5
8338,3,-2
8360,2,4
8382,1,6
8404,1,2
8447,1,6
8469,2,2
8491,1,-1
8507,2,1
8514,1,7
8545,1,2
8579,1,4
8595,1,4
8604,2,0
8624,1,0
8667,1,4
8689,1,6
8690,2,5
8733,1,2
8736,1,2
8756,1,0
8786,1,3
8808,2,-2
8822,1,3
8844,2,4
8866,3,2
8906,1,2
8912,1,2
8934,2,-2
8956,1,4
8978,1,8
9007,1,-1
9029,2,0
9060,1,3
9082,2,4
9100,1,9
9126,2,0
9148,3,7
9154,1,16
9176,1,2
9214,1,-3
9232,2,2
9242,1,2
9279,1,1
9302,2,5
9315,2,0
9346,2,7
9368,1,12
9388,1,1
9396,1,6
9418,2,3
9440,2,1
9479,2,3
9498,1,5
9523,1,2
9544,2,-6
9566,3,2
9579,1,1
9610,1,0
9622,1,3
9645,2,-2
9676,1,1
9698,2,0
9719,2,0
9733,1,24
9748,1,5
9770,1,2
9799,2,3
9828,1,-4
9842,1,-10
9873,1,5
9895,2,2
9917,1,2
9939,1,1
9960,2,3
9982,3,3
9996,2,6
10031,1,1
10035,1,2
10058,2,6
10096,1,3
10118,2,3
10140,1,2
10161,2,3
10185,2,3
10189,1,-2
10218,2,0
10250,1,2
10262,1,4
10293,1,3
10315,2,0
10321,1,0
10360,1,0
10372,1,-1
10394,2,8
10416,3,4
10447,1,4
10469,1,8
10482,2,2
10514,1,6
10526,1,3
10548,1,30
10563,1,-3
10592,1,0
10623,2,6
10636,2,0
10668,2,6
10690,2,3
10713,2,6
10733,1,2
10755,1,3
10778,1,0
10800,2,1
10821,1,-1
10824,1,1
10846,3,7
10887,1,8
10911,1,2
10912,1,3
10939,2,1
10976,1,12
10998,1,2
11010,2,5
11041,1,18
11063,1,1
11066,2,3
11109,3,3
11120,1,5
11142,1,3
11154,2,2
11195,1,2
11219,1,5
11220,1,10
11251,1,-2
11282,1,1
11304,4,0
11308,1,1
11339,2,5
11362,1,4
11393,1,1
11396,1,2
11418,2,3
11450,1,3
11462,2,3
11484,3,0
11527,2,1
11538,2,6
11560,1,-6
11572,1,5
11594,2,8
11616,1,4
11638,2,6
11660,1,3
11682,2,2
11713,3,11
11736,1,1
11748,2,2
11780,3,8
11812,2,3
11834,1,3
11844,1,3
11878,1,6
11900,1,3
11922,2,6
11944,1,9
11966,2,5
11982,2,-2
12010,1,-7
12021,1,3
12042,1,3
12064,2,3
12093,2,4
12120,1,5
12142,2,3
12150,1,12
12186,1,10
12208,2,9
12230,1,6
12240,1,6
12263,1,1
12284,1,2
12306,1,1
12340,1,2
12362,2,4
12369,3,4
12392,1,-2
12428,1,4
12450,1,3
12472,1,4
12494,2,8
12516,2,1
12538,3,6
12560,1,8
12576,2,3
12599,1,-4
12626,2,3
12648,3,0
12654,1,9
12676,2,1
12704,2,3
12717,2,2
12741,2,2
12770,1,1
12783,2,4
12824,2,1
12846,2,-1
12868,1,-1
12886,3,10
12912,1,2
12918,1,3
12946,2,3
12978,1,6
13000,2,0
13003,1,7
13026,1,2
13050,1,5
13069,2,-1
13091,3,3
13122,1,2
13137,2,1
13176,1,5
13198,3,10
13220,1,7
13242,1,0
13264,2,10
13282,2,3
13292,1,2
13326,1,-2
13349,1,-6
13364,1,3
13379,1,2
13418,2,1
13440,1,3
13462,1,5
13484,2,32
13506,1,4
13525,2,-3
13540,2,5
13562,2,1
13594,1,4
13616,1,3
13638,1,0
13656,2,3
13682,1,2
13704,2,1
13726,3,33
13744,1,1
13766,1,2
13779,1,21
13802,1,5
13833,2,6
13854,1,2
13876,2,11
13898,2,3
13921,1,7
13942,2,0
13954,1,2
13976,2,1
13998,1,2
14020,1,0
14043,2,10
14064,1,0
14096,1,2
14110,1,6
14129,2,3
14154,1,1
14174,2,0
14201,1,3
14227,1,18
14245,2,4
14271,1,0
14283,1,2
14306,1,1
14328,2,4
14361,1,9
14383,2,5
14399,3,4
14417,1,2
14438,2,2
14468,1,4
14487,1,7
14509,2,12
14531,1,2
14553,3,2
14575,1,-2
14602,2,1
14616,1,-2
14636,4,-2
14667,1,0
14689,2,0
14704,1,4
14729,1,4
14751,2,4
14778,1,3
14798,1,3
14820,2,4
14835,3,0
14858,4,2
14874,1,4
14910,1,5
14918,1,0
14940,3,2
14981,2,2
14990,2,9
15012,1,5
15047,1,12
15056,1,5
15079,2,9
15100,1,2
15123,2,1
15152,2,-5
15160,2,1
15182,1,0
15223,1,3
15245,2,3
15262,1,3
15284,2,5
15306,3,1
15314,1,6
15336,2,3
15358,3,0
15399,1,7
15409,2,1
15431,1,5
15461,2,6
15483,2,-1
15504,2,6
15526,3,0
15548,4,3
15570,1,4
15578,1,8
15600,2,2
15622,1,0
15663,1,6
15684,1,2
15695,2,2
15716,3,-2
15751,1,7
15773,2,4
15795,1,-1
15804,3,-1
15839,2,5
15842,1,3
15864,1,2
15886,2,19
15915,2,4
15930,2,2
15952,1,6
15974,2,5
15996,3,-2
16021,1,3
16043,2,0
16078,1,-1
16098,1,2
16108,1,9
16131,2,2
16168,1,3
16188,2,2
16208,1,4
16218,1,2
16241,1,3
16278,1,2
16298,2,5
16307,1,-1
16328,1,0
16364,1,12
16388,1,-4
16410,1,4
16416,1,1
16451,1,1
16461,2,2
16498,2,37
16517,1,2
16542,2,4
16549,1,17
16570,1,2
16608,1,-2
16631,1,16
16653,1,4
16675,2,1
16696,3,14
16718,1,1
16724,1,16
16763,1,7
16785,2,4
16805,2,2
16828,1,-2
16850,1,9
16872,1,1
16893,1,-1
16916,2,-2
16938,3,6
16960,3,6
16973,1,-1
16995,2,3
17026,1,6
17039,2,5
17070,1,4
17073,1,0
17105,1,-1
17127,1,9
17149,2,-2
17181,3,2
17183,1,2
17215,1,1
17230,1,3
17252,2,1
17281,1,10
17313,2,-2
17335,1,-2
17347,3,6
17359,1,-2
17381,4,-1
17422,1,0
17435,2,-2
17447,1,6
17469,2,-2
17501,1,5
17513,2,2
17535,1,6
17557,2,0
17599,2,3
17601,1,-7
17623,2,4
17648,1,1
17667,1,1
17699,2,4
17731,1,-1
17743,3,4
17765,1,-2
17787,2,1
17804,1,2
17832,1,8
17854,2,1
17878,3,5
17898,1,2
17920,2,5
17936,1,4
17958,2,1
17986,1,5
18016,1,1
18037,2,-4
18046,1,5
18068,1,-2
18097,1,1
18106,2,3
18128,1,8
18150,2,11
18178,1,3
18200,1,2
18228,2,2
18244,1,4
18272,1,3
18282,1,3
18316,1,13
18338,1,6
18367,2,2
18370,1,2
18392,2,4
18427,3,5
18455,1,2
18477,1,3
18500,2,-3
18514,1,1
18530,1,6
18546,2,3
18580,1,-2
18590,1,3
18612,1,5
18634,2,1
18656,1,1
18684,2,3
18706,3,5
18722,1,0
18744,2,3
18786,1,5
18801,1,6
18830,1,7
18852,2,2
18868,3,2
18896,2,-1
18899,1,4
18920,2,4
18942,1,4
18964,1,7
19006,1,4
19021,2,0
19039,1,3
19072,2,4
19074,2,0
19116,1,7
19138,2,2
19153,3,2
19172,2,17
19204,1,13
19226,1,3
19241,1,3
19263,2,4
19291,1,0
19303,3,2
19336,1,4
19339,1,0
19370,2,-1
19383,1,3
19423,1,1
19436,1,17
19467,1,1
19480,1,6
19492,2,1
19523,1,5
19546,2,14
19567,1,6
19589,2,11
19611,1,2
19633,2,4
19665,2,1
19678,1,7
19699,2,3
19722,2,9
19742,3,3
19761,1,3
19783,1,4
19805,2,10
19828,1,4
19865,1,4
19886,2,6
19891,1,12
19913,2,6
19935,2,3
19975,1,1
19997,2,2
20006,1,-2
20023,1,2
20045,2,-3
20085,1,-1
20102,3,4
20111,1,6
20151,1,2
20155,1,11
20176,2,3
20217,1,1
20227,1,8
20243,2,3
20283,2,-1
20305,1,53
20309,1,5
20336,1,-2
20371,1,-1
20393,1,4
20415,2,3
20437,3,12
20459,1,2
20466,2,1
20487,1,2
20509,2,13
20539,1,6
20561,1,1
20584,2,2
20599,1,5
20620,2,-1
20643,1,7
20664,2,7
20686,1,3
20708,1,3
20745,1,3
20760,1,5
20782,2,6
20803,1,1
20825,1,2
20840,1,7
20859,1,0
20884,1,2
20914,2,-1
20928,1,9
20957,2,6
20980,1,3
21001,2,3
21013,2,0
21038,1,1
21060,1,5
21082,2,1
21110,1,9
21133,2,4
21155,1,1
21170,2,4
21192,1,3
21210,1,13
21232,1,1
21257,1,4
21279,1,7
21310,4,2
21323,1,13
21345,1,3
21367,3,2
21389,1,1
21411,2,1
21434,3,-7
21462,2,28
21489,1,3
21511,2,4
21525,2,7
21544,2,0
21566,3,9
21599,1,0
21621,2,1
21643,1,4
21666,1,7
21687,2,3
21713,1,9
21731,2,2
21745,1,-4
21767,2,1
21797,1,11
21819,1,6
21841,2,2
21852,2,0
21873,3,2
21899,1,1
21918,2,4
21950,1,2
21965,1,1
21995,1,2
22017,2,9
22031,2,-3
22050,1,7
22075,1,6
22104,1,-2
22119,2,10
22137,1,4
22163,1,25
22184,1,1
22215,1,4
22237,1,1
22259,1,3
22273,2,8
22303,1,7
22325,2,0
22347,1,0
22361,1,6
22383,2,6
22412,2,4
22434,1,9
22456,2,3
22478,1,5
22500,1,0
22522,1,2
22549,2,1
22566,3,2
22584,2,6
22605,1,-1
22628,1,2
22652,1,2
22669,1,-3
22692,1,2
22713,1,3
22736,1,-3
22760,1,1
22785,3,0
22802,1,9
22824,2,2
22845,1,4
22868,2,2
22892,2,4
22914,1,9
22935,2,0
22958,3,8
22980,1,3
23001,1,1
23022,1,2
23044,2,-3
