,Quarter,Yards
18,1,8
40,1,3
62,1,5
84,1,2
98,1,7
128,1,10
149,1,-1
172,1,0
186,1,9
208,1,9
230,1,2
259,1,3
280,1,13
304,1,4
326,1,0
339,2,4
367,2,4
391,2,4
412,2,0
435,2,16
458,2,9
480,2,4
502,2,2
524,2,2
538,2,3
560,2,1
576,2,4
608,2,4
626,2,7
648,3,10
677,3,2
700,3,-4
722,3,4
741,3,5
758,3,1
788,3,0
810,3,1
824,3,1
853,3,7
875,3,4
898,3,-6
912,3,13
942,4,0
963,4,2
985,4,14
1000,4,7
1022,4,4
1044,4,58
1063,4,21
1088,4,2
1110,4,2
1132,4,3
1156,1,3
1181,1,16
1203,1,4
1222,1,3
1244,1,10
1270,1,-6
1288,1,3
1310,1,-1
1332,1,1
1354,2,23
1379,2,0
1401,2,14
1420,2,2
1442,2,20
1464,2,-1
1489,2,3
1497,2,4
1519,2,3
1541,2,2
1563,3,0
1584,3,1
1618,3,1
1628,3,0
1662,3,0
1684,3,2
1694,3,8
1717,3,1
1750,3,8
1774,3,1
1794,4,27
1819,4,0
1838,4,3
1863,4,1
1871,4,1
1893,4,11
1914,4,4
1948,4,2
1970,4,-1
1992,4,5
2014,4,-3
2039,4,2
2061,4,1
2080,4,3
2102,4,0
2118,1,6
2142,1,3
2162,1,5
2184,1,2
2207,1,-1
2243,1,1
2252,1,4
2287,1,11
2309,1,15
2331,1,2
2340,2,5
2362,2,0
2383,2,1
2406,2,1
2427,2,3
2450,2,7
2470,2,5
2506,2,3
2529,2,46
2550,2,4
2573,2,2
2595,2,5
2617,2,6
2639,3,9
2657,3,7
2682,3,2
2691,3,0
2727,3,5
2749,3,1
2759,3,1
2778,3,6
2800,3,0
2822,3,6
2859,3,-3
2881,3,3
2902,3,2
2911,4,-1
2934,4,0
2964,1,12
2986,1,1
2998,1,-1
3021,1,7
3042,1,1
3066,1,0
3081,1,4
3123,1,1
3145,1,8
3167,1,1
3174,1,4
3206,2,2
3227,2,23
3249,2,3
3272,2,1
3294,2,1
3316,2,2
3327,2,4
3360,2,7
3373,2,1
3394,2,10
3419,2,4
3441,2,1
3470,2,4
3481,2,2
3514,2,5
3529,2,7
3551,2,17
3571,3,2
3603,3,3
3625,3,2
3637,3,7
3657,3,2
3681,3,7
3705,3,6
3726,3,3
3746,3,2
3769,3,2
3793,3,4
3815,3,6
3837,3,0
3855,3,4
3881,3,7
3902,3,1
3922,3,3
3944,3,11
3964,4,2
3991,4,-3
4013,4,4
4047,4,1
4054,4,4
4076,4,8
4101,4,-2
4122,4,-1
4144,4,2
4167,4,8
4201,4,3
4223,4,4
4233,4,-2
4254,4,7
4276,4,2
4311,4,-4
4333,4,-5
4349,1,-9
4372,1,4
4394,1,5
4416,1,3
4438,1,1
4460,1,2
4481,1,6
4509,1,3
4525,1,1
4548,1,2
4560,1,0
4582,2,3
4614,2,-1
4629,2,1
4648,2,0
4679,2,1
4702,2,1
4724,2,3
4736,2,5
4773,2,3
4790,3,4
4812,3,2
4824,3,2
4846,3,1
4868,3,5
4900,3,6
4916,3,5
4938,4,4
4960,4,1
4977,4,1
5000,4,0
5037,4,1
5043,4,15
5069,1,2
5091,1,-2
5124,1,5
5145,1,0
5157,1,6
5178,1,0
5201,1,1
5223,1,1
5255,1,1
5274,1,-1
5299,2,3
5311,2,3
5344,2,5
5366,2,5
5387,2,3
5410,2,6
5431,2,-2
5454,2,-4
5465,2,3
5498,3,0
5519,3,2
5531,3,3
5551,3,4
5573,3,10
5595,3,3
5629,3,2
5641,3,5
5674,3,3
5683,3,1
5705,3,1
5727,3,1
5761,4,4
5784,4,1
5805,4,-2
5827,4,7
5849,4,5
5865,4,1
5894,4,6
5916,4,2
5927,1,4
5949,1,9
5975,1,1
5993,1,3
6015,1,2
6048,1,6
6063,1,6
6085,1,-1
6107,1,-1
6125,1,11
6147,1,6
6162,1,17
6184,1,12
6212,1,-1
6234,1,3
6267,2,-2
6279,2,-1
6301,2,4
6335,2,4
6345,2,4
6367,2,-1
6393,2,3
6411,2,4
6426,2,2
6455,2,4
6477,2,3
6499,2,1
6515,2,0
6543,2,1
6569,2,7
6591,3,7
6613,3,0
6635,3,2
6657,3,7
6684,3,4
6690,3,7
6712,3,1
6734,3,1
6762,3,7
6785,3,1
6811,3,4
6832,3,2
6854,3,8
6876,3,5
6898,3,3
6917,3,4
6939,4,17
6954,4,1
6976,4,0
7004,4,5
7030,4,4
7049,4,1
7071,4,3
7093,4,2
7109,4,1
7137,4,4
7162,4,8
7176,1,14
7206,1,5
7228,1,5
7250,1,2
7272,1,1
7294,1,1
7308,1,4
7331,1,5
7352,1,3
7373,1,5
7396,1,2
7418,1,1
7448,2,0
7477,2,5
7490,2,0
7512,2,4
7534,2,2
7556,2,2
7588,2,3
7610,2,2
7633,2,2
7654,2,8
7676,3,5
7690,3,-2
7704,3,7
7734,3,-1
7747,3,2
7776,3,2
7800,3,6
7822,3,21
7844,3,-1
7858,4,12
7880,4,4
7908,4,0
7923,4,1
7945,4,3
7976,4,7
7990,4,4
8012,4,3
8040,4,7
8062,4,9
8078,4,5
8100,4,2
8122,4,6
8144,4,-2
8177,1,-1
8205,1,-1
8227,1,4
8228,1,6
8259,1,1
8293,1,4
8294,1,4
8316,1,5
8338,1,-2
8360,1,4
8382,1,6
8404,2,2
8447,2,6
8469,2,2
8491,2,-1
8507,2,1
8514,2,7
8545,2,2
8579,2,4
8595,2,4
8604,2,0
8624,3,0
8667,3,4
8689,3,6
8690,3,5
8733,4,2
8736,4,2
8756,4,0
8786,4,3
8808,4,-2
8822,4,3
8844,4,4
8866,4,2
8906,1,2
8912,1,2
8934,1,-2
8956,1,4
8978,1,8
9007,1,-1
9029,1,0
9060,1,3
9082,1,4
9100,1,9
9126,1,0
9148,1,7
9154,1,16
9176,1,2
9214,1,-3
9232,2,2
9242,2,2
9279,2,1
9302,2,5
9315,2,0
9346,2,7
9368,2,12
9388,2,1
9396,3,6
9418,3,3
9440,3,1
9479,3,3
9498,3,5
9523,3,2
9544,3,-6
9566,3,2
9579,3,1
9610,3,0
9622,3,3
9645,3,-2
9676,3,1
9698,3,0
9719,3,0
9733,4,24
9748,4,5
9770,4,2
9799,4,3
9828,4,-4
9842,4,-10
9873,4,5
9895,4,2
9917,4,2
9939,4,1
9960,4,3
9982,4,3
9996,4,6
10031,4,1
10035,1,2
10058,1,6
10096,1,3
10118,1,3
10140,1,2
10161,1,3
10185,1,3
10189,1,-2
10218,1,0
10250,2,2
10262,2,4
10293,2,3
10315,2,0
10321,2,0
10360,2,0
10372,2,-1
10394,2,8
10416,2,4
10447,3,4
10469,3,8
10482,3,2
10514,3,6
10526,3,3
10548,3,30
10563,3,-3
10592,3,0
10623,3,6
10636,4,0
10668,4,6
10690,4,3
10713,4,6
10733,4,2
10755,4,3
10778,4,0
10800,4,1
10821,4,-1
10824,1,1
10846,1,7
10887,1,8
10911,1,2
10912,1,3
10939,1,1
10976,1,12
10998,1,2
11010,1,5
11041,1,18
11063,1,1
11066,2,3
11109,2,3
11120,2,5
11142,2,3
11154,2,2
11195,2,2
11219,2,5
11220,2,10
11251,2,-2
11282,2,1
11304,2,0
11308,3,1
11339,3,5
11362,3,4
11393,3,1
11396,3,2
11418,3,3
11450,3,3
11462,3,3
11484,3,0
11527,3,1
11538,4,6
11560,4,-6
11572,4,5
11594,4,8
11616,4,4
11638,4,6
11660,4,3
11682,4,2
11713,4,11
11736,4,1
11748,4,2
11780,4,8
11812,1,3
11834,1,3
11844,1,3
11878,1,6
11900,1,3
11922,1,6
11944,1,9
11966,1,5
11982,1,-2
12010,2,-7
12021,2,3
12042,2,3
12064,2,3
12093,2,4
12120,2,5
12142,2,3
12150,2,12
12186,2,10
12208,2,9
12230,2,6
12240,3,6
12263,3,1
12284,3,2
12306,3,1
12340,3,2
12362,3,4
12369,3,4
12392,4,-2
12428,4,4
12450,4,3
12472,4,4
12494,4,8
12516,4,1
12538,4,6
12560,4,8
12576,4,3
12599,4,-4
12626,4,3
12648,4,0
12654,1,9
12676,1,1
12704,1,3
12717,1,2
12741,1,2
12770,1,1
12783,1,4
12824,1,1
12846,1,-1
12868,1,-1
12886,1,10
12912,1,2
12918,1,3
12946,1,3
12978,2,6
13000,2,0
13003,2,7
13026,2,2
13050,2,5
13069,2,-1
13091,2,3
13122,2,2
13137,2,1
13176,2,5
13198,2,10
13220,3,7
13242,3,0
13264,3,10
13282,3,3
13292,3,2
13326,3,-2
13349,3,-6
13364,3,3
13379,3,2
13418,3,1
13440,3,3
13462,3,5
13484,4,32
13506,4,4
13525,4,-3
13540,4,5
13562,4,1
13594,4,4
13616,4,3
13638,4,0
13656,4,3
13682,4,2
13704,4,1
13726,4,33
13744,1,1
13766,1,2
13779,1,21
13802,1,5
13833,1,6
13854,1,2
13876,1,11
13898,1,3
13921,1,7
13942,1,0
13954,1,2
13976,1,1
13998,1,2
14020,1,0
14043,1,10
14064,1,0
14096,2,2
14110,2,6
14129,2,3
14154,2,1
14174,2,0
14201,2,3
14227,2,18
14245,2,4
14271,2,0
14283,2,2
14306,2,1
14328,2,4
14361,2,9
14383,2,5
14399,2,4
14417,3,2
14438,3,2
14468,3,4
14487,3,7
14509,3,12
14531,3,2
14553,3,2
14575,3,-2
14602,3,1
14616,4,-2
14636,4,-2
14667,4,0
14689,4,0
14704,4,4
14729,4,4
14751,4,4
14778,4,3
14798,4,3
14820,4,4
14835,4,0
14858,4,2
14874,1,4
14910,1,5
14918,1,0
14940,1,2
14981,1,2
14990,1,9
15012,1,5
15047,1,12
15056,1,5
15079,1,9
15100,1,2
15123,1,1
15152,2,-5
15160,2,1
15182,2,0
15223,2,3
15245,2,3
15262,2,3
15284,2,5
15306,2,1
15314,2,6
15336,2,3
15358,2,0
15399,2,7
15409,2,1
15431,2,5
15461,3,6
15483,3,-1
15504,3,6
15526,3,0
15548,3,3
15570,3,4
15578,3,8
15600,3,2
15622,3,0
15663,3,6
15684,3,2
15695,4,2
15716,4,-2
15751,4,7
15773,4,4
15795,4,-1
15804,4,-1
15839,4,5
15842,4,3
15864,4,2
15886,4,19
15915,4,4
15930,4,2
15952,4,6
15974,4,5
15996,4,-2
16021,1,3
16043,1,0
16078,1,-1
16098,1,2
16108,1,9
16131,1,2
16168,1,3
16188,1,2
16208,1,4
16218,1,2
16241,1,3
16278,1,2
16298,2,5
16307,2,-1
16328,2,0
16364,2,12
16388,2,-4
16410,2,4
16416,2,1
16451,2,1
16461,2,2
16498,2,37
16517,3,2
16542,3,4
16549,3,17
16570,3,2
16608,3,-2
16631,3,16
16653,3,4
16675,3,1
16696,3,14
16718,3,1
16724,4,16
16763,4,7
16785,4,4
16805,4,2
16828,4,-2
16850,4,9
16872,4,1
16893,4,-1
16916,4,-2
16938,4,6
16960,4,6
16973,1,-1
16995,1,3
17026,1,6
17039,1,5
17070,1,4
17073,1,0
17105,1,-1
17127,1,9
17149,1,-2
17181,1,2
17183,1,2
17215,2,1
17230,2,3
17252,2,1
17281,2,10
17313,2,-2
17335,2,-2
17347,2,6
17359,2,-2
17381,3,-1
17422,3,0
17435,3,-2
17447,3,6
17469,3,-2
17501,3,5
17513,3,2
17535,3,6
17557,3,0
17599,3,3
17601,3,-7
17623,4,4
17648,4,1
17667,4,1
17699,4,4
17731,4,-1
17743,4,4
17765,4,-2
17787,4,1
17804,1,2
17832,1,8
17854,1,1
17878,1,5
17898,1,2
17920,1,5
17936,1,4
17958,1,1
17986,1,5
18016,1,1
18037,1,-4
18046,1,5
18068,2,-2
18097,2,1
18106,2,3
18128,2,8
18150,2,11
18178,2,3
18200,2,2
18228,2,2
18244,2,4
18272,3,3
18282,3,3
18316,3,13
18338,3,6
18367,3,2
18370,3,2
18392,3,4
18427,3,5
18455,3,2
18477,3,3
18500,3,-3
18514,4,1
18530,4,6
18546,4,3
18580,4,-2
18590,4,3
18612,4,5
18634,4,1
18656,5,1
18684,5,3
18706,5,5
18722,1,0
18744,1,3
18786,1,5
18801,1,6
18830,1,7
18852,1,2
18868,1,2
18896,1,-1
18899,1,4
18920,1,4
18942,1,4
18964,1,7
19006,1,4
19021,1,0
19039,1,3
19072,2,4
19074,2,0
19116,2,7
19138,2,2
19153,2,2
19172,2,17
19204,2,13
19226,2,3
19241,2,3
19263,2,4
19291,2,0
19303,2,2
19336,3,4
19339,3,0
19370,3,-1
19383,3,3
19423,3,1
19436,3,17
19467,3,1
19480,3,6
19492,3,1
19523,3,5
19546,4,14
19567,4,6
19589,4,11
19611,4,2
19633,4,4
19665,4,1
19678,4,7
19699,4,3
19722,4,9
19742,4,3
19761,4,3
19783,4,4
19805,4,10
19828,4,4
19865,1,4
19886,1,6
19891,1,12
19913,1,6
19935,1,3
19975,1,1
19997,1,2
20006,2,-2
20023,2,2
20045,2,-3
20085,2,-1
20102,2,4
20111,2,6
20151,2,2
20155,2,11
20176,3,3
20217,3,1
20227,3,8
20243,3,3
20283,3,-1
20305,3,53
20309,4,5
20336,4,-2
20371,4,-1
20393,4,4
20415,4,3
20437,4,12
20459,4,2
20466,1,1
20487,1,2
20509,1,13
20539,1,6
20561,1,1
20584,1,2
20599,1,5
20620,1,-1
20643,1,7
20664,1,7
20686,1,3
20708,1,3
20745,1,3
20760,2,5
20782,2,6
20803,2,1
20825,2,2
20840,2,7
20859,2,0
20884,2,2
20914,2,-1
20928,2,9
20957,3,6
20980,3,3
21001,3,3
21013,3,0
21038,3,1
21060,3,5
21082,3,1
21110,3,9
21133,3,4
21155,3,1
21170,3,4
21192,3,3
21210,3,13
21232,3,1
21257,4,4
21279,4,7
21310,4,2
21323,4,13
21345,4,3
21367,4,2
21389,4,1
21411,4,1
21434,4,-7
21462,4,28
21489,1,3
21511,1,4
21525,1,7
21544,1,0
21566,1,9
21599,1,0
21621,1,1
21643,1,4
21666,1,7
21687,1,3
21713,1,9
21731,1,2
21745,1,-4
21767,1,1
21797,1,11
21819,2,6
21841,2,2
21852,2,0
21873,2,2
21899,2,1
21918,2,4
21950,2,2
21965,2,1
21995,2,2
22017,2,9
22031,2,-3
22050,2,7
22075,3,6
22104,3,-2
22119,3,10
22137,3,4
22163,3,25
22184,3,1
22215,3,4
22237,3,1
22259,3,3
22273,3,8
22303,3,7
22325,4,0
22347,4,0
22361,4,6
22383,4,6
22412,4,4
22434,4,9
22456,4,3
22478,4,5
22500,4,0
22522,4,2
22549,4,1
22566,4,2
22584,1,6
22605,1,-1
22628,1,2
22652,1,2
22669,1,-3
22692,1,2
22713,1,3
22736,1,-3
22760,1,1
22785,1,0
